rank,slug,canonical_name,downloads,installs,stars,source,category,publisher,publisher_verified,certified_name,upstream_url,created_at,updated_at,version,description,description_zh
191,voiceover-narration-studio,@beatra-ai/voiceover-narration-studio,4623,0,1,enterprise,design-media,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-15,2026-08-26,0.1.7,用配音与旁白工作室统筹 AI配音、文字转语音和 AI语音生成：从当前声音库选择合适音色，把文稿制作成可直接剪辑的语音合成音频，或通过声音克隆创建并复用品牌专属声音。适合文稿转语音、短视频配音、有声书旁白、课程配音、多语言配音和粤语配音，也可作为 AI语音生成器与品牌声音工作台；长篇内容按章节、多语言内容按语言清晰交付。,用配音与旁白工作室统筹 AI配音、文字转语音和 AI语音生成：从当前声音库选择合适音色，把文稿制作成可直接剪辑的语音合成音频，或通过声音克隆创建并复用品牌专属声音。适合文稿转语音、短视频配音、有声书旁白、课程配音、多语言配音和粤语配音，也可作为 AI语音生成器与品牌声音工作台；长篇内容按章节、多语言内容按语言清晰交付。
192,tencentcloud-infra,@tencent-adm/tencentcloud-infra,4573,42,6,enterprise,it-ops-security,Tencent Cloud Infra,true,腾讯科技（深圳）有限公司,,2026-03-31,2026-08-26,1.0.12,腾讯云全产品统一管理 Skill，基于 tccli 覆盖Lighthouse/CVM/CBS/COS/VPC/DNSPod/SSL/CAM/Monitor/TAT/Domain/CloudAudit 等 12+ 产品。支持资源查看与管理、安全巡检、应用部署、建站、证书检查、账号切换等场景。,腾讯云全产品统一管理 Skill，基于 tccli 覆盖Lighthouse/CVM/CBS/COS/VPC/DNSPod/SSL/CAM/Monitor/TAT/Domain/CloudAudit 等 12+ 产品。支持资源查看与管理、安全巡检、应用部署、建站、证书检查、账号切换等场景。
193,wechat-channels-script-studio,@beatra-ai/wechat-channels-script-studio,4522,0,4,enterprise,content-creation,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-12,2026-08-26,0.1.4,把一个商品和你确认过的信息，变成一条今天就能开拍的视频号短视频脚本。这套视频号脚本工作台会按秒切出分段表，逐句写出可以直接照着念的口播全文，并把挂车的转化动作精确落到具体段落上——哪一句留人、哪一段把理由给足、哪一秒说链接在下面，都写在表里；再用六个维度给这一版打分，让你在开拍前就看见它最弱的一处。手上有一条已经出单的视频号爆款，就照着它的骨架改写成你自己的挂车脚本。分镜图和口播配音按需产出，拿到,把一个商品和你确认过的信息，变成一条今天就能开拍的视频号短视频脚本。这套视频号脚本工作台会按秒切出分段表，逐句写出可以直接照着念的口播全文，并把挂车的转化动作精确落到具体段落上——哪一句留人、哪一段把理由给足、哪一秒说链接在下面，都写在表里；再用六个维度给这一版打分，让你在开拍前就看见它最弱的一处。手上有一条已经出单的视频号爆款，就照着它的骨架改写成你自己的挂车脚本。分镜图和口播配音按需产出，拿到
194,tencentads-delivery-standard-update,@tencent-adm/tencentads-delivery-standard-update,4470,7,2,enterprise,business-ops,腾讯营销品牌,true,腾讯科技（深圳）有限公司,,2026-04-27,2026-08-26,0.5.8,营销单元（原广告）/智投项目通用更新。支持修改营销单元或智投项目的多个字段（名称、日期、定向、时段、出价、预算、状态、深度转化、一键起量、创意增强等），支持单个营销单元/项目更新和多账号多营销单元/项目批量更新。,营销单元（原广告）/智投项目通用更新。支持修改营销单元或智投项目的多个字段（名称、日期、定向、时段、出价、预算、状态、深度转化、一键起量、创意增强等），支持单个营销单元/项目更新和多账号多营销单元/项目批量更新。
195,tencentcloud-ocr-recognizetableaccurate,@tencent-adm/tencentcloud-ocr-recognizetableaccurate,4431,643,0,enterprise,office-efficiency,腾讯云文字识别团队,true,腾讯科技（深圳）有限公司,,2026-03-09,2026-08-26,1.0.3,"腾讯云表格识别v3(RecognizeTableAccurateOCR)接口调用技能。当用户需要从表格图片或PDF中识别常规表格、无线表格、多表格的内容,提取每个单元格的文字信息,或将表格图片识别结果导出为Excel文件时,应使用此技能。支持中英文表格图片、旋转表格图片、嵌套表格图片等复杂场景,识别效果优于表格识...","腾讯云表格识别v3(RecognizeTableAccurateOCR)接口调用技能。当用户需要从表格图片或PDF中识别常规表格、无线表格、多表格的内容,提取每个单元格的文字信息,或将表格图片识别结果导出为Excel文件时,应使用此技能。支持中英文表格图片、旋转表格图片、嵌套表格图片等复杂场景,识别效果优于表格识..."
196,tencentads-auth,@tencent-adm/tencentads-auth,4375,6,2,enterprise,ai-agent,腾讯营销品牌,true,腾讯科技（深圳）有限公司,,2026-04-27,2026-08-26,0.5.6,腾讯营销（原腾讯广告）技能鉴权凭证管理技能，负责检查 APIKEY 是否有效，当腾讯营销(tencent-ads)系列技能返回认证错误时引导用户提供 APIKEY 并保存(⚠️重要提醒⚠️：腾讯营销 APIKEY 必须通过该技能保存)，所有 tencent-ads 技能共享。,腾讯营销（原腾讯广告）技能鉴权凭证管理技能，负责检查 APIKEY 是否有效，当腾讯营销(tencent-ads)系列技能返回认证错误时引导用户提供 APIKEY 并保存(⚠️重要提醒⚠️：腾讯营销 APIKEY 必须通过该技能保存)，所有 tencent-ads 技能共享。
197,viral-video-teardown-remake,@beatra-ai/viral-video-teardown-remake,4258,0,7,enterprise,content-creation,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-11,2026-08-26,0.1.6,把一条已经跑出来的短视频，变成你自己的那一条。参考视频可以是文件、截图或你自己的描述，也可以直接粘一个视频链接——抖音、TikTok、小红薯、Instagram、YouTube、X 都能读到标题文案、作者和公开数据，需要时再做评论分析，取评论区里观众的原话；YouTube 还支持字幕提取，拿到整段逐字稿。爆款短视频拆解与复刻工作流：逐段拆出钩子、中段节奏和转化引导，判定它属于哪一类脚本结构，说清它,把一条已经跑出来的短视频，变成你自己的那一条。参考视频可以是文件、截图或你自己的描述，也可以直接粘一个视频链接——抖音、TikTok、小红薯、Instagram、YouTube、X 都能读到标题文案、作者和公开数据，需要时再做评论分析，取评论区里观众的原话；YouTube 还支持字幕提取，拿到整段逐字稿。爆款短视频拆解与复刻工作流：逐段拆出钩子、中段节奏和转化引导，判定它属于哪一类脚本结构，说清它
198,tencentcloud-cos,@tencent-adm/tencentcloud-cos,4129,552,3,enterprise,design-media,腾讯云对象存储,true,腾讯科技（深圳）有限公司,,2026-03-05,2026-08-26,1.1.6,腾讯云对象存储(COS)和数据万象(CI)集成技能。覆盖文件存储管理、AI处理和知识库三大核心场景。 存储场景：上传文件到云端、下载云端文件、批量管理存储桶文件、获取文件签名链接分享、查看文件元信息。 图片处理场景：图片质量评估打分、AI超分辨率放大、AI智能裁剪、二维码/条形码识别、添加文字水印、获取图片EXI...,腾讯云对象存储(COS)与数据万象(CI)集成技能，覆盖文件存储管理、AI处理和知识库三大核心场景。存储场景：文件上传、下载、批量管理、签名链接分享、元信息查询。图片处理场景：质量评估、AI超分辨率放大、智能裁剪、二维码/条形码识别、文字水印、图片EXI信息获取。
199,kunlun-fanyi,@kunlungrowth/kunlun-fanyi,4128,0,2,enterprise,knowledge-management,昆仑增长,true,昆仑增长（深圳）技术有限公司,,2026-08-03,2026-08-26,1.1.0,翻译企业翻译AI：处理产品文档、合同、营销文案、技术手册的多语翻译与本地化，保留术语一致与品牌语气，输出可直接交付的译文与术语表,翻译企业翻译AI：处理产品文档、合同、营销文案、技术手册的多语翻译与本地化，保留术语一致与品牌语气，输出可直接交付的译文与术语表
200,huifu-pay-integration,@user_93f1fdbc/huifu-pay-integration,4112,0,6,enterprise,dev-programming,上海汇付支付有限公司,true,上海汇付支付有限公司,,2026-05-08,2026-08-26,1.3.4,汇付支付/斗拱支付（Huifu Payment）交易接入与开发排障。用于支付 API/SDK、聚合支付、托管支付、收银台组件checkout-js、统一/H5/PC 收银台，以及微信、支付宝、银联、抖音、小程序、JSAPI、公众号、扫码、付款码、B2B/B2C 网银和快捷支付等场景；覆盖预下单/下单、查单、关单、退款、合单、拆单/分账交易、对账账单，以及异步通知、notify_url、Webhoo,汇付支付/斗拱支付（Huifu Payment）交易接入与开发排障。用于支付 API/SDK、聚合支付、托管支付、收银台组件checkout-js、统一/H5/PC 收银台，以及微信、支付宝、银联、抖音、小程序、JSAPI、公众号、扫码、付款码、B2B/B2C 网银和快捷支付等场景；覆盖预下单/下单、查单、关单、退款、合单、拆单/分账交易、对账账单，以及异步通知、notify_url、Webhoo
201,workrally,@tencent-adm/workrally,3994,66,12,enterprise,ai-agent,WorkRally Team,true,腾讯科技（深圳）有限公司,,2026-04-14,2026-08-26,2.7.0,"WorkRally CLI (workrally) — 面向 AI Agent 的 AIGC 漫剧视频创作全流程工具集。支持 AI 生图、AI 生视频、项目管理、资产库、媒资管理、无限画布、文件上传下载等。Use when user asks to generate images, generate videos, manage projects, upload files, download a","WorkRally CLI (workrally) — 面向 AI Agent 的 AIGC 漫剧视频创作全流程工具集。支持 AI 生图、AI 生视频、项目管理、资产库、媒资管理、无限画布、文件上传下载等。Use when user asks to generate images, generate videos, manage projects, upload files, download a"
202,tencentcloud-asr,@tencent-adm/tencentcloud-asr,3984,19,11,enterprise,design-media,腾讯云语音团队,true,腾讯科技（深圳）有限公司,,2026-03-09,2026-08-26,0.1.5,腾讯云语音识别 ASR Skill，适用于语音转文字、音频转写、字幕生成、会议转录、语音消息识别、 本地文件或 URL 音频识别。包含三种模式：一句话识别（<=60s 短音频）、录音识别极速版 （<=2h/100MB 中长音频快速同步返回）、录音识别（<=5h 长音频异步识别）。支持普通话、 英语、粤语、日语、韩...,腾讯云语音识别 ASR Skill，适用于语音转文字、音频转写、字幕生成、会议转录、语音消息识别、 本地文件或 URL 音频识别。包含三种模式：一句话识别（<=60s 短音频）、录音识别极速版 （<=2h/100MB 中长音频快速同步返回）、录音识别（<=5h 长音频异步识别）。支持普通话、 英语、粤语、日语、韩...
203,tencentmap-map-assistant,@tencent-adm/tencentmap-map-assistant,3908,0,14,enterprise,life-service,腾讯地图位置服务团队,true,腾讯科技（深圳）有限公司,,2026-06-05,2026-08-26,1.5.2,腾讯地图·地图助手 Skill，一句自然语言调用腾讯地图全套能力，开箱即用。提供 AI 旅游攻略、地点搜索（含评分/人均/营业时间）、关键词提示、路线规划（驾车/步行/公交/骑行）、地址解析与逆解析、行政区划、IP 定位、距离计算、天气查询，并可将行程或多 POI 渲染成网页地图或生成腾讯地图小程序指南。涉及找地点、规划路线、旅游行程、查天气、坐标转换等出行场景时使用。,腾讯地图·地图助手 Skill，一句自然语言调用腾讯地图全套能力，开箱即用。提供 AI 旅游攻略、地点搜索（含评分/人均/营业时间）、关键词提示、路线规划（驾车/步行/公交/骑行）、地址解析与逆解析、行政区划、IP 定位、距离计算、天气查询，并可将行程或多 POI 渲染成网页地图或生成腾讯地图小程序指南。涉及找地点、规划路线、旅游行程、查天气、坐标转换等出行场景时使用。
204,hy-image-generation,@tencent-adm/hy-image-generation,3869,298,4,enterprise,design-media,腾讯云智能创作团队,true,腾讯科技（深圳）有限公司,,2026-03-09,2026-08-26,1.0.2,"腾讯云混元生图 3.0，文生图 / 图生图，智能生成贴合描述的图片。Tencent Cloud Hunyuan Image Generation 3.0, text-to-image / image-to-image, intelligently generates images matching the des...",腾讯云混元生图3.0，支持文生图/图生图，智能生成与描述相符的图片。
205,kunlun-video-script-gen,@kunlungrowth/kunlun-video-script-gen,3840,0,1,enterprise,content-creation,昆仑增长,true,昆仑增长（深圳）技术有限公司,,2026-07-27,2026-08-26,1.1.0,输入主题，出可拍的短视频脚本：黄金前3秒钩子、分镜台词节奏、转化引导。触发词：短视频脚本、抖音脚本、分镜脚本、口播文案,输入主题，出可拍的短视频脚本：黄金前3秒钩子、分镜台词节奏、转化引导。触发词：短视频脚本、抖音脚本、分镜脚本、口播文案
206,tencent-channel-community,@tencent-adm/tencent-channel-community,3805,136,8,enterprise,business-ops,腾讯频道团队,true,腾讯科技（深圳）有限公司,,2026-03-24,2026-08-26,1.1.5,腾讯频道(QQ频道)社区管理 skill（CLI 版）。频道创建/设置/搜索/加入/退出，成员管理/禁言/踢人，帖子发布/编辑/删除/移动/搜索，评论/回复/点赞，版块管理，分享链接解析，频道私信，加入设置管理，内容巡检，问答自动回复。涉及腾讯频道、频道帖子、频道成员相关任务时应优先使用。,腾讯频道(QQ频道)社区管理 skill（CLI 版）。频道创建/设置/搜索/加入/退出，成员管理/禁言/踢人，帖子发布/编辑/删除/移动/搜索，评论/回复/点赞，版块管理，分享链接解析，频道私信，加入设置管理，内容巡检，问答自动回复。涉及腾讯频道、频道帖子、频道成员相关任务时应优先使用。
207,cad-design-and-drafting,@org-qu1qhx78/cad-design-and-drafting,3710,0,12,enterprise,design-media,AstraClaw,true,惠州顺视智能科技有限公司,,2026-08-12,2026-08-26,1.3.23,CAD 画图、CAD 制图、DWG/DXF 与工程 PDF，一句话就能开始。可创建或修改机械零件、设备与产线布局、厂房规划、电气/管道示意和结构草图，自动补齐尺寸、标题栏、BOM、剖面线和制造标注，并在交付前完成图纸回读与打印检查。没有 AutoCAD 时，受支持的常见二维任务会自动使用便携后端；Skill 与 CLI 可公开安装，首次使用可自动试用，后续制图按 LLMRouter 账户余额结算。,CAD 画图、CAD 制图、DWG/DXF 与工程 PDF，一句话就能开始。可创建或修改机械零件、设备与产线布局、厂房规划、电气/管道示意和结构草图，自动补齐尺寸、标题栏、BOM、剖面线和制造标注，并在交付前完成图纸回读与打印检查。没有 AutoCAD 时，受支持的常见二维任务会自动使用便携后端；Skill 与 CLI 可公开安装，首次使用可自动试用，后续制图按 LLMRouter 账户余额结算。
208,comment-ops-master,@douease/comment-ops-master,3628,0,3,enterprise,content-creation,抖易团队DouEase,true,山东抖易网络科技有限公司,,2026-07-21,2026-08-26,1.0.0,评论区运营神器｜神评论、神回复、评论区互动、抢热评、控评、回怼、接梗、自嘲、评论引流、置顶评论、差评回复、舆情回应、危机公关、黑粉应对、恶评处理、涨粉评论、高赞评论、抖音评论、小红书评论、B站评论、视频号评论、快手评论——全网首个专注评论区细分运营的技能。三大风格神回复生成（自嘲/接梗/反转）、差评与舆情三级回应话术（轻度调侃/中度澄清/重度公关）、别人视频下的合规引流抢楼评论、自己作品的置顶评论,评论区运营神器｜神评论、神回复、评论区互动、抢热评、控评、回怼、接梗、自嘲、评论引流、置顶评论、差评回复、舆情回应、危机公关、黑粉应对、恶评处理、涨粉评论、高赞评论、抖音评论、小红书评论、B站评论、视频号评论、快手评论——全网首个专注评论区细分运营的技能。三大风格神回复生成（自嘲/接梗/反转）、差评与舆情三级回应话术（轻度调侃/中度澄清/重度公关）、别人视频下的合规引流抢楼评论、自己作品的置顶评论
209,word-docx,@zcwl/word-docx,3499,0,0,enterprise,office-efficiency,智创未来,true,成都智创未来教育管理合伙企业（有限合伙）,,2026-08-14,2026-08-26,1.0.3,"创建检查编辑Word文档与DOCX,样式与编号可靠。Create, inspect, and edit Microsoft Word documents","创建检查编辑Word文档与DOCX,样式与编号可靠。Create, inspect, and edit Microsoft Word documents"
210,web-search,@org-02qudk26/web-search,3489,0,0,enterprise,office-efficiency,智雨科技,true,上海智雨千泽科技有限公司,,2026-08-04,2026-08-26,1.0.0,帮助白领工作人员处理办公效率相关的重复任务，快速得到结构化、可复用的工作成果。,帮助白领工作人员处理办公效率相关的重复任务，快速得到结构化、可复用的工作成果。
211,zlbx-bidding-payskill,@org-32m5yxyy/zlbx-bidding-payskill,3461,0,8,enterprise,data-analysis,知了标讯,true,北京百炼智能科技有限公司,,2026-07-04,2026-08-26,1.0.5,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析、查询品牌型号历史中标单价/价格趋势、市场分析/行业分析/采购寻源/渠道拓展等采购与,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析、查询品牌型号历史中标单价/价格趋势、市场分析/行业分析/采购寻源/渠道拓展等采购与
212,ixhlink-skills-image-edit,@ixhlink/ixhlink-skills-image-edit,3260,0,0,enterprise,design-media,星华智联科技,true,莆田市星华智联科技有限公司,,2026-06-25,2026-08-26,1.0.6,智能图片编辑助手，根据文字描述对已上传图片进行风格化、调色、局部修改、背景替换等 AI 修图，当用户要求「修图」「改图」「P图」「编辑图片」「换背景」「调色」「风格化」「图片后期处理」时使用。,智能图片编辑助手，根据文字描述对已上传图片进行风格化、调色、局部修改、背景替换等 AI 修图，当用户要求「修图」「改图」「P图」「编辑图片」「换背景」「调色」「风格化」「图片后期处理」时使用。
213,handwritten-newspaper-template-generator-showapi,@showapi/handwritten-newspaper-template-generator-showapi,3248,0,0,enterprise,design-media,万维易源,true,昆明秀派科技有限公司,,2026-08-17,2026-08-26,1.0.0,根据主题、年级和画面比例，自动生成符合A4打印标准的手抄报黑白线稿模板；适用于小学手抄报作业辅助、主题黑板报线稿设计、儿童涂色填字模板生成场景,根据主题、年级和画面比例，自动生成符合A4打印标准的手抄报黑白线稿模板；适用于小学手抄报作业辅助、主题黑板报线稿设计、儿童涂色填字模板生成场景
214,hy-3d-generation,@tencent-adm/hy-3d-generation,3221,198,5,enterprise,design-media,腾讯云智能创作团队,true,腾讯科技（深圳）有限公司,,2026-03-09,2026-08-25,1.0.0,输入文字或图片，通过混元生3D 3.0、3.1 模型，生成更高精度以及更高质量的3D 模型，支持文生3D，图生3D，多视图生3D，单几何生成（白模），草图生3D，智能拓扑生3D功能。,输入文字或图片，通过混元生3D 3.0、3.1 模型，生成更高精度以及更高质量的3D 模型，支持文生3D，图生3D，多视图生3D，单几何生成（白模），草图生3D，智能拓扑生3D功能。
215,ad-api,@org-rwhv0nty/ad-api,2851,0,5,enterprise,professional,中国银河证券,true,中国银河证券股份有限公司,,2026-06-02,2026-08-26,1.0.8,"中国银河证券星耀数智金融数据API技能。当用户需要获取中国证券市场数据（股票、债券、基金、期货、期权、港股通等）、查询财务报表、分析历史行情时使用此技能。支持历史数据查询、财务数据分析、股东数据查询等场景。即使用户没有明确提到""AmazingData""，只要涉及中国A股、港股通、期货期权等金融数据查询和分析，都应该使用此技能。","中国银河证券星耀数智金融数据API技能。当用户需要获取中国证券市场数据（股票、债券、基金、期货、期权、港股通等）、查询财务报表、分析历史行情时使用此技能。支持历史数据查询、财务数据分析、股东数据查询等场景。即使用户没有明确提到""AmazingData""，只要涉及中国A股、港股通、期货期权等金融数据查询和分析，都应该使用此技能。"
216,tencentcloud-aigc-recog-image,@tencent-adm/tencentcloud-aigc-recog-image,2828,372,2,enterprise,it-ops-security,腾讯云内容识别团队,true,腾讯科技（深圳）有限公司,,2026-03-09,2026-08-26,1.0.8,腾讯云 AI 生成图片识别 (TencentCloud Image AIGC Detection) 技能。适用于 AI 生成图片检测、图片真伪鉴别、AI 绘画检测、Deepfake 检测等场景。TencentCloud Image AIGC Detection is an AI-generated content...,腾讯云 AI 生成图片识别（TencentCloud Image AIGC Detection）技能，可用于 AI 生成图片检测、图片真伪鉴别、AI 绘画检测、Deepfake 检测等场景，是一款 AI 生成内容检测工具。
217,cloudq,@tencent-adm/cloudq,2655,122,3,enterprise,it-ops-security,Tencent CloudQ Team,true,腾讯科技（深圳）有限公司,,2026-03-25,2026-08-26,1.9.0,用户咨询腾讯云产品资源、AWS、阿里云等多云资源时，查看智能顾问架构图、架构目录、架构详情、架构评估结果、绘制架构图、开通智能顾问时、AI智能巡检、AI容量监测、AI混沌演练、AI云诊断、主动预警、架构健康度、云运维问答、云资源查询、云成本优化、安全合规、云资源盘点、闲置资源检查、云产品最佳实践等AIOps、ChatOps、CloudOps操作时使用。,在腾讯云、AWS、阿里云等多云环境下，提供智能顾问架构图、目录、详情、评估结果，支持绘制架构图和开通智能顾问；功能包括AI智能巡检、容量监测、混沌演练、云诊断、主动预警、架构健康度评估、云运维问答、资源查询、成本优化、安全合规、资源盘点、闲置资源检查及云产品最佳实践等AIOps能力。
218,zhiliao-official-tender-assistant,@org-32m5yxyy/zhiliao-official-tender-assistant,2653,0,7,enterprise,data-analysis,知了标讯,true,北京百炼智能科技有限公司,,2026-06-24,2026-08-26,1.0.6,知了标讯官方招投标数据助手，覆盖招标公告与中标结果查询、企业工商与招中标画像、竞争对手分析、市场趋势统计、Top采购/中标单位与品牌、历史中标价格、临期项目商机挖掘等。当用户涉及招投标、政府采购、中标查询、供应商/竞对分析、采购市场研究等任何场景时，必须使用此SKILL；即使未出现「招投标」字样，只要涉及中标、采购、供应商、竞对、市场份额等需求均应使用。,知了标讯官方招投标数据助手，覆盖招标公告与中标结果查询、企业工商与招中标画像、竞争对手分析、市场趋势统计、Top采购/中标单位与品牌、历史中标价格、临期项目商机挖掘等。当用户涉及招投标、政府采购、中标查询、供应商/竞对分析、采购市场研究等任何场景时，必须使用此SKILL；即使未出现「招投标」字样，只要涉及中标、采购、供应商、竞对、市场份额等需求均应使用。
219,yixiaoer-cli,@org-ztku7s54/yixiaoer-cli,2633,0,6,enterprise,content-creation,长沙草儿绽放科技有限公司,true,长沙草儿绽放科技有限公司,,2026-07-15,2026-08-26,1.0.3,新媒体自动化分发运营工具，支持抖音自动发布、视频号自动发布、公众号自动发布、小红书自动发布等40+自媒体平台，图文、短视频自动分发管理，各平台数据自动化分析，让新媒体运营更简单高效。,新媒体自动化分发运营工具，支持抖音自动发布、视频号自动发布、公众号自动发布、小红书自动发布等40+自媒体平台，图文、短视频自动分发管理，各平台数据自动化分析，让新媒体运营更简单高效。
220,yszx-agent-assistant,@org-5ya7ko3e/yszx-agent-assistant,2610,0,0,enterprise,business-ops,银盛通信有限公司,false,,,2026-08-03,2026-08-26,1.0.3,服务于银盛尊享代理商，支持对代理数据查询、统计和深度分析，提供名下商户查询以及问题解决方案,服务于银盛尊享代理商，支持对代理数据查询、统计和深度分析，提供名下商户查询以及问题解决方案
221,miniprogram-development,@zcwl/miniprogram-development,2581,0,0,enterprise,dev-programming,智创未来,true,成都智创未来教育管理合伙企业（有限合伙）,,2026-08-14,2026-08-26,1.28.19,"微信小程序开发,构建/调试/预览/测试/发布。WeChat Mini Program development skill for building,","微信小程序开发,构建/调试/预览/测试/发布。WeChat Mini Program development skill for building,"
222,teacher-prep-skill,@org-3plub05j/teacher-prep-skill,2579,0,17,enterprise,education,全人教育,true,广州全人教育科技有限公司,,2026-06-25,2026-08-26,1.0.0,"📚 教师个性化备课助手 (teacher-prep-skill) — 真正""懂教材、懂学情、懂你""的 AI 备课搭档 ━━━━━━━━━━━━━━━━━━━━━━━━ 🎯 定位 基于「教材版本知识图谱 + 班级学情数据 + 教师个人风格」三轴驱动的 AI 备课助手，把教师 1 节课的备课时间从 3-5 小时压缩到 10-15 分钟；一次安装，老师用了就回不去。 ━━━━━━━━━━━━","📚 教师个性化备课助手 (teacher-prep-skill) — 真正""懂教材、懂学情、懂你""的 AI 备课搭档 ━━━━━━━━━━━━━━━━━━━━━━━━ 🎯 定位 基于「教材版本知识图谱 + 班级学情数据 + 教师个人风格」三轴驱动的 AI 备课助手，把教师 1 节课的备课时间从 3-5 小时压缩到 10-15 分钟；一次安装，老师用了就回不去。 ━━━━━━━━━━━━"
223,tencentmap-miniprogram-skill,@tencent-adm/tencentmap-miniprogram-skill,2554,234,4,enterprise,dev-programming,腾讯地图位置服务团队,true,腾讯科技（深圳）有限公司,,2026-04-10,2026-08-26,1.0.4,此技能提供微信小程序地图开发的完整指导，包括地图组件使用、位置服务、标记点管理、路线规划、地理编码、POI搜索、点聚合和可视化图层等功能。当用户需求涉及微信小程序地图功能开发（如 map 组件、marker、callout、polyline、polygon、circle、地图、点标记、折线、多边形、圆形、弧线、定位、导航、路线规划、POI搜索、地理编码、点聚合、热力图、腾讯地图 SDK 等）时，应,此技能提供微信小程序地图开发的完整指导，包括地图组件使用、位置服务、标记点管理、路线规划、地理编码、POI搜索、点聚合和可视化图层等功能。当用户需求涉及微信小程序地图功能开发（如 map 组件、marker、callout、polyline、polygon、circle、地图、点标记、折线、多边形、圆形、弧线、定位、导航、路线规划、POI搜索、地理编码、点聚合、热力图、腾讯地图 SDK 等）时，应
224,zlbx-bidding-pay-persist,@org-32m5yxyy/zlbx-bidding-pay-persist,2550,0,3,enterprise,business-ops,知了标讯,true,北京百炼智能科技有限公司,,2026-07-03,2026-08-26,1.0.1,网招中标数据智能查询与分析，覆盖标讯搜索、企业分析、市场洞察三大类 16 项能力：搜索招标/中标公告、查临期续签商机、分析公司主营业务与历史中标、挖掘竞争对手与潜在供应商、统计 Top 采购/中标单位与品牌价格趋势等。 输入：自然语言问题；输出：结构化标讯、企业画像、市场统计。 适用：投标获客、采购寻源、竞对分析、市场调研。微信按量付费，充 ¥10 得 100 次额度，余额按设备持久化，同设备换对,网招中标数据智能查询与分析，覆盖标讯搜索、企业分析、市场洞察三大类 16 项能力：搜索招标/中标公告、查临期续签商机、分析公司主营业务与历史中标、挖掘竞争对手与潜在供应商、统计 Top 采购/中标单位与品牌价格趋势等。 输入：自然语言问题；输出：结构化标讯、企业画像、市场统计。 适用：投标获客、采购寻源、竞对分析、市场调研。微信按量付费，充 ¥10 得 100 次额度，余额按设备持久化，同设备换对
225,data-analysis,@org-02qudk26/data-analysis,2507,0,1,enterprise,data-analysis,智雨科技,true,上海智雨千泽科技有限公司,,2026-08-04,2026-08-26,1.0.0,帮助白领工作人员处理办公效率相关的重复任务，快速得到结构化、可复用的工作成果。,帮助白领工作人员处理办公效率相关的重复任务，快速得到结构化、可复用的工作成果。
226,self-improving-agent-cn,@kunlungrowth/self-improving-agent-cn,2505,0,1,enterprise,ai-agent,昆仑增长,true,昆仑增长（深圳）技术有限公司,,2026-08-05,2026-08-26,1.0.0,>,>
227,douyin-account-diagnosis-redfox,@redfox-data/douyin-account-diagnosis-redfox,2495,0,2,enterprise,data-analysis,红狐数据,false,,,2026-06-05,2026-08-26,1.0.5,一键诊断抖音账号运营健康度。基于红狐数据服务获取账号画像与近期作品数据，从账号基础画像、内容生产力、互动健康度、内容质量、内容趋势、粉丝质量六个维度进行量化诊断，输出100分制综合评分、维度得分明细、六类风险预警和针对性优化建议。触发词：当用户提到'诊断抖音账号'、'抖音账号分析'、'抖音体检'、'抖音账号评估'、'查看XX抖音数据'、'分析这个抖音号'时使用,一键诊断抖音账号运营健康度。基于红狐数据服务获取账号画像与近期作品数据，从账号基础画像、内容生产力、互动健康度、内容质量、内容趋势、粉丝质量六个维度进行量化诊断，输出100分制综合评分、维度得分明细、六类风险预警和针对性优化建议。触发词：当用户提到'诊断抖音账号'、'抖音账号分析'、'抖音体检'、'抖音账号评估'、'查看XX抖音数据'、'分析这个抖音号'时使用
