rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
30,bid-document-smart-writing-desk,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,投标文件智能写作台。需配置世舶科技 API Key 使用。用于用于投标文件内容撰写、章节扩写、技术方案整理和商务响应优化。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标数,投标文件智能写作台。需配置世舶科技 API Key 使用。用于用于投标文件内容撰写、章节扩写、技术方案整理和商务响应优化。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标数,3,,,27979,0.784
31,chain-enterprise-bid-ai-generato,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,链企标书AI生成器。需配置世舶科技 API Key 使用。用于面向企业标书生成场景，帮助根据企业信息、招标要求和历史材料生成投标内容。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商,链企标书AI生成器。需配置世舶科技 API Key 使用。用于面向企业标书生成场景，帮助根据企业信息、招标要求和历史材料生成投标内容。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商,3,,,27978,0.783
32,sbkj-official-jiafang,skillhub-cn,世舶科技（武汉）有限公司,,,single,调用世舶招投标 API 查询企业、采购方、代理机构、招中标项目、合同、客户与供应商关系，生成面向投标人的投标参考报告，帮助投标企业在投标前快速判断项目机会、采购需求、竞争格局和潜在风险。用于投标前机会研判、采购需求画像、竞争格局分析、目标客户研究、投标准备建议、风险识别和下一步跟进清单。 适用于投标前机会研判、采购需求画像、竞争对手分析、目标客户研究、代理机构分析、投标准备建议、风险识别和下一步跟,调用世舶招投标 API 查询企业、采购方、代理机构、招中标项目、合同、客户与供应商关系，生成面向投标人的投标参考报告，帮助投标企业在投标前快速判断项目机会、采购需求、竞争格局和潜在风险。用于投标前机会研判、采购需求画像、竞争格局分析、目标客户研究、投标准备建议、风险识别和下一步跟进清单。 适用于投标前机会研判、采购需求画像、竞争对手分析、目标客户研究、代理机构分析、投标准备建议、风险识别和下一步跟,3,,,27906,0.781
33,precision-bid-customer-ai-engine,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,精准寻标获客AI引擎。需配置世舶科技 API Key 使用。用于用于精准寻找招标项目和潜在客户，帮助按关键词、行业、地区和采购方筛选获客线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,精准寻标获客AI引擎。需配置世舶科技 API Key 使用。用于用于精准寻找招标项目和潜在客户，帮助按关键词、行业、地区和采购方筛选获客线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,3,,,27889,0.778
34,sbkj-official-ai,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技（武汉）有限公司AI搜索能力开放。把用户的自然语言招投标需求改写为时间、关键词、企业、地区和行业条件，再调用 AI 专用搜索接口返回高相关项目。用于不会写检索式、复杂自然语言找标、智能查招标、按业务描述搜索项目和解释搜索条件。,世舶科技（武汉）有限公司AI搜索能力开放。把用户的自然语言招投标需求改写为时间、关键词、企业、地区和行业条件，再调用 AI 专用搜索接口返回高相关项目。用于不会写检索式、复杂自然语言找标、智能查招标、按业务描述搜索项目和解释搜索条件。,3,,,27872,0.777
35,sbkj-offcial-llm,skillhub-cn,世舶科技（武汉）有限公司,,,single,标讯文本识别与结构化抽取是世舶科技(武汉)有限公司提供的招投标文本处理能力，支持识别文本是否属于标讯、拟在建项目、非项目内容或异常信息，并进一步判断招标公告、中标公告、候选人公示、采购意向、合同公告、变更公告、废标流标等招中标分类，帮助用户完成标讯内容清洗、项目识别和公告标准化处理。 适用于标讯文本清洗、项目识别、公告分类、训练数据加工、字段抽取、招投标内容标准化和结构化数据整理。用户可从公告标题,标讯文本识别与结构化抽取是世舶科技(武汉)有限公司提供的招投标文本处理能力，支持识别文本是否属于标讯、拟在建项目、非项目内容或异常信息，并进一步判断招标公告、中标公告、候选人公示、采购意向、合同公告、变更公告、废标流标等招中标分类，帮助用户完成标讯内容清洗、项目识别和公告标准化处理。 适用于标讯文本清洗、项目识别、公告分类、训练数据加工、字段抽取、招投标内容标准化和结构化数据整理。用户可从公告标题,3,,,27864,0.776
36,bid-business-intelligence-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招投标商情智能助手。需配置世舶科技 API Key 使用。用于用于整理招投标市场情报、竞争对手动态、客户采购偏好和区域趋势。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标,招投标商情智能助手。需配置世舶科技 API Key 使用。用于用于整理招投标市场情报、竞争对手动态、客户采购偏好和区域趋势。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标,3,,,27850,0.775
37,national-bid-company-insight,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,全国招中标查询与企业洞察。需配置世舶科技 API Key 使用。用于用于全国招中标查询和企业深度洞察，重点分析企业历史中标、合作客户、区域分布和业务方向。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日,全国招中标查询与企业洞察。需配置世舶科技 API Key 使用。用于用于全国招中标查询和企业深度洞察，重点分析企业历史中标、合作客户、区域分布和业务方向。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日,3,,,27845,0.773
38,sbkj-official-report,skillhub-cn,世舶科技（武汉）有限公司,,,single,企业研究报告生成是世舶科技提供的招投标企业分析能力，支持调用世舶招投标 API 查询企业基础信息、联系方式、投标统计、中标统计、近期招标项目、近期中标项目、合同公告、合作客户、供应商关系和关联项目，帮助用户快速形成完整的企业画像、投标能力分析、中标表现分析和上下游合作网络。 适用于企业报告生成、客户调查、供应商调查、企业尽调、重点账户研究、投标能力评估、中标表现分析、合作网络研究和竞争情报报告。用,企业研究报告生成是世舶科技提供的招投标企业分析能力，支持调用世舶招投标 API 查询企业基础信息、联系方式、投标统计、中标统计、近期招标项目、近期中标项目、合同公告、合作客户、供应商关系和关联项目，帮助用户快速形成完整的企业画像、投标能力分析、中标表现分析和上下游合作网络。 适用于企业报告生成、客户调查、供应商调查、企业尽调、重点账户研究、投标能力评估、中标表现分析、合作网络研究和竞争情报报告。用,3,,,27845,0.773
39,sbkj-official-crm,skillhub-cn,世舶科技（武汉）有限公司,,,single,CRM客户与商机数据增强是世舶科技对外提供的客户信息补全与商机分析能力，支持通过企业画像、企业联系人、客户供应商关系、招标项目、中标项目、合同公告和采购动态，补全 CRM 客户档案与商机信息，帮助企业快速完善客户资料、核验合作关系、了解客户采购需求和近期项目动态。 适用于 CRM 数据增强、客户档案补全、商机背景调查、重点客户跟进、客户最近采购动态查询、合作关系核验、销售线索完善和客户分层管理。用,CRM客户与商机数据增强是世舶科技对外提供的客户信息补全与商机分析能力，支持通过企业画像、企业联系人、客户供应商关系、招标项目、中标项目、合同公告和采购动态，补全 CRM 客户档案与商机信息，帮助企业快速完善客户资料、核验合作关系、了解客户采购需求和近期项目动态。 适用于 CRM 数据增强、客户档案补全、商机背景调查、重点客户跟进、客户最近采购动态查询、合作关系核验、销售线索完善和客户分层管理。用,3,,,27800,0.772
40,bid-proposal-verification-tool,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书核对校验工具。需配置世舶科技 API Key 使用。用于核对标书与招标文件要求是否一致，检查目录、页码、响应点、附件和签章盖章。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,标书核对校验工具。需配置世舶科技 API Key 使用。用于核对标书与招标文件要求是否一致，检查目录、页码、响应点、附件和签章盖章。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,3,,,27781,0.771
41,tender-document-smart-reviewer,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招标文件智能解读器。需配置世舶科技 API Key 使用。用于面向招标文件解读，帮助用清晰语言说明项目要求、资格门槛、评分重点和投标注意事项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,招标文件智能解读器。需配置世舶科技 API Key 使用。用于面向招标文件解读，帮助用清晰语言说明项目要求、资格门槛、评分重点和投标注意事项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,3,,,27757,0.77
42,bid-proposal-smart-generator,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书智能生成助手。需配置世舶科技 API Key 使用。用于生成标书初稿、章节内容、响应说明和附件清单，适合快速搭建投标文件框架。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、,标书智能生成助手。需配置世舶科技 API Key 使用。用于生成标书初稿、章节内容、响应说明和附件清单，适合快速搭建投标文件框架。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、,3,,,27626,0.768
43,bid-document-auto-generator,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,投标文件自动生成工具。需配置世舶科技 API Key 使用。用于根据招标文件和企业材料自动生成投标文件初稿、响应表和材料清单。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投,投标文件自动生成工具。需配置世舶科技 API Key 使用。用于根据招标文件和企业材料自动生成投标文件初稿、响应表和材料清单。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投,3,,,27586,0.767
44,multi-search-engine,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,single,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -",1,,,26057,0.76
45,prc-labor-law-resolution,skillhub-cn,,,,single,"This skill should be used for China mainland employment and labor-law questions requiring verified official Chinese sources, urgent evidence preservation, plain-language or zero-parameter intake, mult",本技能用于处理国内劳动用工与劳动争议问题，要求核验现行法律依据，识别争议焦点，规划证据，测算请求金额，并提供协商、劳动监察、调解、仲裁、诉讼及执行方案。适用于辞退、辞职、工资、加班、休假、社会保险、工伤、劳务派遣、平台用工、竞业限制、规章制度、劳动合同审查和企业用工合规等场景。不适用于非中国法律问题，以及纯刑事、税务、公司、移民或一般民事问题，但可识别跨领域衔接事项。,3,,,22891,0.73
46,ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,4,84154,,,0.677
47,image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,4,84040,,,0.676
48,video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,4,83889,,,0.674
49,ai-image-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,4,83883,,,0.673
50,ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,4,83637,,,0.671
51,beatra,skillhub-cn,乐萱同行科技（深圳）有限公司,,,single,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,4,,,16256,0.597
52,photo-singing-video,skillhub-cn,,,,single,用一张清晰人像照片和一段简短的歌曲片段，让照片开口唱歌。这个 AI 照片唱歌视频和人像唱歌视频工作流可以把单张人像变成一段有表情的唱歌短片，只需要一张照片和一段歌曲片段，并在交付后检查人物特征、嘴型和面部动作、演唱表现力、声音呈现和同步效果。适合老照片唱歌、生日祝福、卡通人物唱歌、趣味分享、歌曲宣传和有纪念意义的留言，每次只用一张照片和一段已确认的音频片段，并如实复盘成片效果。,用一张清晰人像照片和一段简短的歌曲片段，让照片开口唱歌。这个 AI 照片唱歌视频和人像唱歌视频工作流可以把单张人像变成一段有表情的唱歌短片，只需要一张照片和一段歌曲片段，并在交付后检查人物特征、嘴型和面部动作、演唱表现力、声音呈现和同步效果。适合老照片唱歌、生日祝福、卡通人物唱歌、趣味分享、歌曲宣传和有纪念意义的留言，每次只用一张照片和一段已确认的音频片段，并如实复盘成片效果。,2,,,15802,0.585
53,reddit-automation,skills.sh,flowkit-labs,flowkit-labs/skills,,single,,,4,53464,,,0.566
54,bid-opportunity-practical-assistant,skillhub-cn,,,,single,招投标商机实战助手。需配置世舶科技 API Key 使用。用于围绕招投标商机挖掘、客户跟进和销售线索整理，帮助销售快速判断项目价值和跟进优先级。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,招投标商机实战助手。需配置世舶科技 API Key 使用。用于围绕招投标商机挖掘、客户跟进和销售线索整理，帮助销售快速判断项目价值和跟进优先级。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,3,,,14864,0.557
55,bid-data-search-radar,skillhub-cn,,,,single,招投标数据搜雷达。需配置世舶科技 API Key 使用。用于搜索全国招投标公告、中标结果、合同公告和采购意向，适合做快速项目发现、关键词检索和商机初筛。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更,招投标数据搜雷达。需配置世舶科技 API Key 使用。用于搜索全国招投标公告、中标结果、合同公告和采购意向，适合做快速项目发现、关键词检索和商机初筛。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更,3,,,14462,0.541
56,live-commerce-script-studio,skillhub-cn,乐萱同行科技（深圳）有限公司,,,single,把一份排品清单，变成主播真的能在镜头前照着念的一整场直播脚本。这个直播带货脚本工作流会排出整场分钟级流程表，为每个主推品写出七步讲解话术，配一套涵盖开场、留人、互动、逼单、催单、收尾的十二类照念话术库，并对所有措辞做一遍合规检查；然后把主播和场控真正拿在手上的话术卡、倒计时卡渲染出来，再把那些靠语气而不是靠文字取胜的句子做成示范音。适合抖音、视频号、淘宝、快手、小红书的直播带货，也可以当成直播脚本,把一份排品清单，变成主播真的能在镜头前照着念的一整场直播脚本。这个直播带货脚本工作流会排出整场分钟级流程表，为每个主推品写出七步讲解话术，配一套涵盖开场、留人、互动、逼单、催单、收尾的十二类照念话术库，并对所有措辞做一遍合规检查；然后把主播和场控真正拿在手上的话术卡、倒计时卡渲染出来，再把那些靠语气而不是靠文字取胜的句子做成示范音。适合抖音、视频号、淘宝、快手、小红书的直播带货，也可以当成直播脚本,4,,,14305,0.534
57,beatra-ai-video-studio,skillhub-cn,乐萱同行科技（深圳）有限公司,,,single,从一段镜头描述、一张图片、首尾帧、参考素材或已有视频出发，规划并制作短视频。Beatra AI视频工作室支持文生视频、图生视频、参考生视频、首尾帧视频、AI视频编辑和AI视频延长，覆盖产品视频、广告创意、社交短视频、AI空镜素材、转场、揭示和电影感概念镜头。交付后检查动作、主体稳定性、运镜、连续性与发布场景；如果请求或结果包含音频，也一并检查音频，再决定最小有效的修改、延长或重新生成。,从一段镜头描述、一张图片、首尾帧、参考素材或已有视频出发，规划并制作短视频。Beatra AI视频工作室支持文生视频、图生视频、参考生视频、首尾帧视频、AI视频编辑和AI视频延长，覆盖产品视频、广告创意、社交短视频、AI空镜素材、转场、揭示和电影感概念镜头。交付后检查动作、主体稳定性、运镜、连续性与发布场景；如果请求或结果包含音频，也一并检查音频，再决定最小有效的修改、延长或重新生成。,4,,,12344,0.463
58,ai-music-video-clip-maker,skillhub-cn,,,,single,用一首歌的情绪、节奏和视觉概念，制作一个短视觉短片。这个 AI 音乐 MV 短片制作与歌曲生成视频工作流可以把音乐片段和视觉方向变成电影感音乐宣传短片，把确认的封面图或人物肖像随音乐动起来，在严格的首尾画面之间生成过渡动作，或把音频作为松散的氛围参考生成全新的视觉概念。适合新歌预告、专辑宣传短片、封面图动画、氛围视觉、虚拟歌手场景和社交媒体音乐预告，从歌曲的副歌、能量、配色和落幅画面构建音频-视觉,用一首歌的情绪、节奏和视觉概念，制作一个短视觉短片。这个 AI 音乐 MV 短片制作与歌曲生成视频工作流可以把音乐片段和视觉方向变成电影感音乐宣传短片，把确认的封面图或人物肖像随音乐动起来，在严格的首尾画面之间生成过渡动作，或把音频作为松散的氛围参考生成全新的视觉概念。适合新歌预告、专辑宣传短片、封面图动画、氛围视觉、虚拟歌手场景和社交媒体音乐预告，从歌曲的副歌、能量、配色和落幅画面构建音频-视觉,2,,,12215,0.458
59,animate-expo,skills.sh,emilkowalski,emilkowalski/skills,,single,,,2,2036,,,0.406
60,admapix,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,single,"AdMapix广告原始数据层,广告创意/应用/排名/下载收入","AdMapix广告原始数据层,广告创意/应用/排名/下载收入",1,,,11341,0.404
61,unslop,skills.sh,cursor,cursor/plugins,,single,,,1,1751,,,0.404
62,lingyi-daily-hot-topic,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】：每日热点选题——每天获取抖音、小红书等平台今日热榜，结合你指定行业/品牌关键词，匹配出可跟进的热点选题（含切入角度、文案方向、形式建议、风险提示、排期建议），把当天热点跟你产品结合出选题，一键出 Markdown 日报。热门搜索词：小红书热点、抖音热点、今日热搜、蹭热点、热点选题、追热点。触发词：热点日报、今日热点、热点选题、热点追踪、社媒热点。,【零一数科·出品】：每日热点选题——每天获取抖音、小红书等平台今日热榜，结合你指定行业/品牌关键词，匹配出可跟进的热点选题（含切入角度、文案方向、形式建议、风险提示、排期建议），把当天热点跟你产品结合出选题，一键出 Markdown 日报。热门搜索词：小红书热点、抖音热点、今日热搜、蹭热点、热点选题、追热点。触发词：热点日报、今日热点、热点选题、热点追踪、社媒热点。,4,,,11082,0.384
63,ai-avatar-video,skills.sh,whytryharder,whytryharder/superpowers,,single,,,3,1251,,,0.364
64,twitter-automation,skills.sh,whytryharder,whytryharder/superpowers,,single,,,3,1230,,,0.364
65,ai-image-generation,skills.sh,whytryharder,whytryharder/superpowers,,single,,,3,1220,,,0.363
66,lingyi-creator-filter,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】视频号达人筛选（付费版）。找了好几个达人想合作，但到底哪个真能带得动你的货？挑错人 = 白花钱还没转化。把产品和候选达人发给我，AI 逐个深扒每位达人的受众画像、内容调性、转化潜力，按六维评分排推荐名次，直接告诉你首选跟谁合作、为什么他最合适——再也不用凭感觉选人。报告含推荐排名、六维匹配评分、首选达人合作方案、受众画像与代表视频。触发词：视频号达人筛选、视频号达人匹配、达人筛选,【零一数科·出品】视频号达人筛选（付费版）。找了好几个达人想合作，但到底哪个真能带得动你的货？挑错人 = 白花钱还没转化。把产品和候选达人发给我，AI 逐个深扒每位达人的受众画像、内容调性、转化潜力，按六维评分排推荐名次，直接告诉你首选跟谁合作、为什么他最合适——再也不用凭感觉选人。报告含推荐排名、六维匹配评分、首选达人合作方案、受众画像与代表视频。触发词：视频号达人筛选、视频号达人匹配、达人筛选,4,,,10777,0.362
67,ai-video-generation,skills.sh,whytryharder,whytryharder/superpowers,,single,,,3,1160,,,0.359
68,wecom-unified,skills.sh,wecomteam,wecomteam/wecom-unified,,single,,,3,893,,,0.358
69,mastra,skills.sh,mastra-ai,mastra-ai/skills,,single,,,4,717,,,0.349
70,momentic-explore-prompt,skills.sh,momentic-ai,momentic-ai/skills,,single,,,4,610,,,0.346
71,momentic-maintain,skills.sh,momentic-ai,momentic-ai/skills,,single,,,4,610,,,0.346
72,momentic-spec,skills.sh,momentic-ai,momentic-ai/skills,,single,,,4,610,,,0.346
73,momentic-mobile-test,skills.sh,momentic-ai,momentic-ai/skills,,single,,,4,610,,,0.346
74,nx-workspace,skills.sh,nrwl,nrwl/nx-ai-agents-config,,single,,,4,580,,,0.344
75,discover-analytics-patterns,skills.sh,amplitude,amplitude/mcp-marketplace,,single,,,2,506,,,0.34
76,taxonomy,skills.sh,amplitude,amplitude/mcp-marketplace,,single,,,2,506,,,0.34
77,diff-intake,skills.sh,amplitude,amplitude/mcp-marketplace,,single,,,2,506,,,0.34
78,discover-event-surfaces,skills.sh,amplitude,amplitude/mcp-marketplace,,single,,,2,506,,,0.34
79,instrument-events,skills.sh,amplitude,amplitude/mcp-marketplace,,single,,,2,506,,,0.34
80,add-analytics-instrumentation,skills.sh,amplitude,amplitude/mcp-marketplace,,single,,,2,506,,,0.34
81,zhuangqiancha,skillhub-cn,,,,single,中文 Agent 工具（Skill、MCP、插件...）安全风险查询。 当用户想了解某个 AI 工具是否安全、查「XX 工具安全吗」「这个 skill 有风险吗」「XX 作者出过哪些高风险工具」、 或需要按风险/来源浏览中文 Agent 工具生态时使用。数据来自装前查（zhuangqiancha.com）基于公开代码与声明的独立评估， 涵盖权限透明、隐私去向、作者信誉、安全档位四个维度。零 API,中文 Agent 工具（Skill、MCP、插件...）安全风险查询。当用户想了解某个 AI 工具是否安全、查「XX 工具安全吗」「这个 skill 有风险吗」「XX 作者出过哪些高风险工具」、或需要按风险/来源浏览中文 Agent 工具生态时使用。数据来自装前查（zhuangqiancha.com）基于公开代码与声明的独立评估，涵盖权限透明、隐私去向、作者信誉、安全档位四个维度。零 API Ke,4,,,10373,0.338
82,tiktok-shop-product-video-maker,skillhub-cn,乐萱同行科技（深圳）有限公司,,,single,使用 AI 将商品信息、产品图、卖点和英语或日语受众需求制作成 TikTok Shop 商品视频方案。生成开场钩子、可直接拍摄的脚本、镜头节拍、字幕提示、本地化标题、话题标签和适合商品页事实的行动引导，适用于跨境短视频、商品展示、演示、开箱、测评和达人带货视频。,使用 AI 将商品信息、产品图、卖点和英语或日语受众需求制作成 TikTok Shop 商品视频方案。生成开场钩子、可直接拍摄的脚本、镜头节拍、字幕提示、本地化标题、话题标签和适合商品页事实的行动引导，适用于跨境短视频、商品展示、演示、开箱、测评和达人带货视频。,4,,,10040,0.314
83,lingyi-wx-video-oral-seeding-script-plus,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】视频号口播种草脚本生成。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的口播种草脚本，或按方向/目的/商品原创多条口播种草脚本（含分段表、口播全文、六维质检评分）。,【零一数科·出品】视频号口播种草脚本生成。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的口播种草脚本，或按方向/目的/商品原创多条口播种草脚本（含分段表、口播全文、六维质检评分）。,4,,,9994,0.31
84,ip-as-logo,skills.sh,s1dashu,s1dashu/ip-as-logo-skill,,single,,,2,418,,,0.288
85,lingyi-wx-account-quick-analysis,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】：微信视频号账号拆解（轻量版）。发一个视频号账号名，几分钟拿到一份账号快拆报告——账号总览/受众画像/内容矩阵/爆款公式/对标竞品/运营建议，照着爆款路径抄起号模板。触发词：视频号账号快拆、账号快拆、快速拆解视频号账号、快拆账号。,【零一数科·出品】：微信视频号账号拆解（轻量版）。发一个视频号账号名，几分钟拿到一份账号快拆报告——账号总览/受众画像/内容矩阵/爆款公式/对标竞品/运营建议，照着爆款路径抄起号模板。触发词：视频号账号快拆、账号快拆、快速拆解视频号账号、快拆账号。,1,,,9695,0.287
86,unslop,skills.sh,theclaymethod,theclaymethod/unslop,,single,,,1,387,,,0.274
87,angular-developer,skills.sh,angular,angular/skills,,single,,,4,354,,,0.268
